word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
adjunct	@JVNkt	8.126371246543966	2	600	@J	1.0	VNkt	1.292481250360578	0
adjective	@Jxktxv	8.857075580144095	3	608	@Jx	5.369046129810245	ktxv	1.0	0
agile	@Jxl	9.969477863258225	3	610	@Jx	5.369046129810245	l	0.9933501369082647	0
adulation	@JxleSxn	9.424152231475741	4	610	@Jxl	6.832890014164742	eSxn	0.9497185851561727	1
agitation	@JxteSxn	9.353319403405742	5	617	@Jxte	9.730760706684977	Sxn	1.0258451301009608	1
agitate	@Jxtet	10.287115187318552	5	620	@Jxte	9.730760706684977	t	1.0589451792400202	0
agitator	@JxtetR	8.248729385223069	6	620	@Jxtet	9.397022279579602	R	1.0987519712878187	1
agitated	@Jxtetxd	8.488413568704454	6	620	@Jxtet	9.397022279579602	xd	0.3670919658255228	0
adjutant	@Jxtxnt	16.130727177788508	4	613	@Jxt	5.954196310386876	xnt	0.4531409275007758	0
anger	@NgR	7.006255209035513	3	629	@Ng	4.809824042287783	R	1.0987519712878187	0
angered	@NgRd	7.96167207121821	4	629	@NgR	10.835260918627489	d	1.0782899628472473	-1
angora	@NgcrV	7.01127564101492	3	627	@Ng	4.809824042287783	crV	1.8306176987765583	0
angler	@NglR	7.6240742851255465	4	629	@Ngl	10.495602787086426	R	1.0987519712878187	1
angling	@NglxN	6.822308402195172	4	629	@Ngl	10.495602787086426	xN	0.9608545890204996	0
angry	@Ngri	7.210135599476409	4	629	@Ngr	7.839465093576174	i	1.0037427799968084	0
angrily	@Ngrxli	6.026529506567765	4	629	@Ngr	7.839465093576174	xli	0.7248819767777281	1
anguish	@NgwxS	8.15168907503989	5	633	@Ngwx	6.94251450533924	S	1.660583763687754	0
anguished	@NgwxSt	9.369219165841725	6	633	@NgwxS	10.843135911111348	t	1.0589451792400202	1
angle	@Ngxl	7.05623717465093	4	631	@Ngx	9.73809225962049	l	0.9933501369082647	0
